KODE_KEL_BRG;URAIAN_KEL_BRG;ID_ SSH;KODE_ BARANG;URAIAN_BARANG;SPESIFIKASI;SATUAN;HARGA_SATUAN
1.1.12.01.04.0002;Obat-obatan Lainnya;7560100;1.1.12.01.04.0002.00185;Antibiotik Atasi Infeksi Pernafasan dan Pencernaan Hewan;Procaine Penicillin G (Antibiotik) 100 ml;ml;145000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560101;1.1.12.01.04.0002.00186;Anti Inflamasi Anti Radang anti Alergi dan Anti Shock;Anti Inflamasi Anti Radang anti Alergi dan Anti Shock mengandung dexamethasone. 100 ml;ml;115000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560102;1.1.12.01.04.0002.00187;Kemoterapeutika Injeksi mengandung Sulfadiazine dan Trimethoprim 100 ml;Kemoterapeutika Injeksi mengandung Sulfadiazine dan Trimethoprim 100 ml;ml;120000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560103;1.1.12.01.04.0002.00188;Antibiotik Hewan Spektrum Luas Sulfa trimetropin LA;Antibiotik Hewan Spektrum Luas Sulfa trimetropin LA 100 ml;ml;114000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560104;1.1.12.01.04.0002.00189;Antibiotik Hewan Oksitetrasiklin Konsentrasi Tinggi 100 ml;Antibiotik Hewan Oksitetrasiklin Konsentrasi Tinggi 100 ml;ml;134000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560105;1.1.12.01.04.0002.00190;Marbofloxacine, Thioglyserol, M-CRESOL, Disodium Adetate (Antibiotik) 100 ml;Marbofloxacine, Thioglyserol, M-CRESOL, Disodium Adetate (Antibiotik) 100 ml;ml;353000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560106;1.1.12.01.04.0002.00191;Ceftiofur (Antibiotik);Ceftiofur (Antibiotik) 100 ml;ml;320000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560107;1.1.12.01.04.0002.00192;Analgesik antipiretik anti nyeri dan demam;Analgesik antipiretik anti nyeri dan demam 100 ml;ml;131000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560108;1.1.12.01.04.0002.00193;Injeksi Anestesi Hewan / Lidocaine (Analgesik) 100 ml;Injeksi Anestesi Hewan / Lidocaine (Analgesik) 100 ml;ml;111000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560109;1.1.12.01.04.0002.00194;Ketosol 100 ml;Ketosol 100 ml;ml;328000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560110;1.1.12.01.04.0002.00195;Tolfenamic Acid (Antiinflamasi);Tolfenamic Acid (Antiinflamasi) 100 ml;ml;477100
1.1.12.01.04.0002;Obat-obatan Lainnya;7560111;1.1.12.01.04.0002.00196;Dexamethason (Antiinflamasi);Dexamethason (Antiinflamasi) 100 ml;ml;114000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560112;1.1.12.01.04.0002.00197;Dipenhidramin Hcl (Antihistamin);Dipenhidramin Hcl (Antihistamin) 100 ml;ml;75500
1.1.12.01.04.0002;Obat-obatan Lainnya;7560113;1.1.12.01.04.0002.00198;Vitamin B12 (Multivitamin);Vitamin B12 (Multivitamin) 100 ml;ml;79000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560114;1.1.12.01.04.0002.00199;Butafosfan (Multivitamin);Butafosfan (Multivitamin) 100 ml;ml;218000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560115;1.1.12.01.04.0002.00200;Vita B Plex Bolus isi 17 Bolus;Vita B Plex Bolus isi 17 Bolus;pot;55000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560116;1.1.12.01.04.0002.00201;Terusi 1 kg;Terusi 1 kg;kg;70000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560117;1.1.12.01.04.0002.00202;Multivitamin Lengkap asam amino;Multivitamin Lengkap asam amino;ml;301000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560118;1.1.12.01.04.0002.00203;Soda Kue 25 Kg Food Grade;Soda Kue 25 Kg Food Grade;sak;315000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560119;1.1.12.01.04.0002.00204;Alkohol 95%;Alkohol 95%;liter;40000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560120;1.1.12.01.04.0002.00205;H202 3%;H202 3%;ml;39900
1.1.12.01.04.0002;Obat-obatan Lainnya;7560121;1.1.12.01.04.0002.00206;Formalin 1 liter;Formalin 1 liter;liter;60000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560122;1.1.12.01.04.0002.00207;Reagen Tes;Reagen Tes;paket;438000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560123;1.1.12.01.04.0002.00208;Calcipros Plus Inj 100 ml;Calcipros Plus Inj 100 ml;ml;83500
1.1.12.01.04.0002;Obat-obatan Lainnya;7560124;1.1.12.01.04.0002.00209;Multivitamin Oral Bolus;Multivitamin Oral Bolus;butir;5500
1.1.12.01.04.0002;Obat-obatan Lainnya;7560125;1.1.12.01.04.0002.00210;Vit A, Vit D3, Vit E, Vit B2, Vit B6, Vit B12, Nicotinamide, d-Panthenol (Multivitamin);Vit A, Vit D3, Vit E, Vit B2, Vit B6, Vit B12, Nicotinamide, d-Panthenol (Multivitamin) 100 ml;ml;83000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560126;1.1.12.01.04.0002.00211;Antibiotik puting untuk sapi laktasi 1 syringe;Antibiotik puting untuk sapi laktasi 1 syringe;syringe;35000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560127;1.1.12.01.04.0002.00212;Obat Parasite 100 ml;Obat Parasite 100 ml;ml;507000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560128;1.1.12.01.04.0002.00213;V Tropin 50 ml;V Tropin 50 ml;ml;180000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560129;1.1.12.01.04.0002.00214;Vitol Vitamin Hewan;Vitol Vitamin Hewan;ml;120000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560130;1.1.12.01.04.0002.00215;Hematodin 100 ml;Hematodin 100 ml;ml;95000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560131;1.1.12.01.04.0002.00216;Flunixin Meglumin (Antiinflamasi);Flunixin Meglumin (Antiinflamasi) 100 ml;ml;405000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560132;1.1.12.01.04.0002.00217;Sulfadiazine (antibiotik bolus);Sulfadiazine (antibiotik bolus) 1 box;box;60000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560133;1.1.12.01.04.0002.00218;Vitamin ADE Hewan 100 ml;Vitamin ADE Hewan 100 ml;ml;135000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560134;1.1.12.01.04.0002.00219;Multivitamin Cair ADE -Plex Injection 100 ml;Multivitamin Cair ADE -Plex Injection 100 ml;ml;145000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560135;1.1.12.01.04.0002.00220;Peningkat Stamina Daya Tahan Pada Hewan 100 ml;Peningkat Stamina Daya Tahan Pada Hewan 100 ml;ml;168000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560136;1.1.12.01.04.0002.00221;Desinfektan berbahan dasar Benzalkonium Chloride 1 liter;Desinfektan berbahan dasar Benzalkonium Chloride 1 liter;liter;100000
1.1.12.01.04.0002;Obat-obatan Lainnya;7560137;1.1.12.01.04.0002.00222;Injectamin multivitamin 100 ml;Injectamin multivitamin 100 ml;ml;148500
1.1.12.01.04.0002;Obat-obatan Lainnya;7560152;1.1.12.01.04.0002.00223;Dimilin;Dimilin;pak;112200
1.1.12.01.04.0002;Obat-obatan Lainnya;7560153;1.1.12.01.04.0002.00224;Quarantine Med;Quarantine Med;sachet;50600
1.1.12.01.04.0002;Obat-obatan Lainnya;7560160;1.1.12.01.04.0002.00225;Garam Laut;Garam Laut;kg;13500
1.1.12.01.04.0002;Obat-obatan Lainnya;7560186;1.1.12.01.04.0002.00226;Garam Laut;Garam Laut;kg;13500
1.1.12.01.04.0002;Obat-obatan Lainnya;7295914;1.1.12.01.04.0002.00142;Pupuk Dasar/Media;Pupuk Dasar/Media untuk Aquascape;Pack;41500
1.1.12.01.04.0002;Obat-obatan Lainnya;7295913;1.1.12.01.04.0002.00141;Limoxin-25;Antiseptik Antikuman Infeksi Hewan Semprot;Botol;150000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295912;1.1.12.01.04.0002.00140;Premix;Premix dan Mineral;Kg;40000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295911;1.1.12.01.04.0002.00139;Penstrep 400;Penstrep 400;Botol;185000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295910;1.1.12.01.04.0002.00138;Rheumakap 200 mg;Rheumakap 200 mg;Pot;293000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295909;1.1.12.01.04.0002.00137;Vaksin Brucella;Vaksin Brucella Abortus RB 51;Ampul;900000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295908;1.1.12.01.04.0002.00136;Anti Tetanus Serum;Anti Tetanus Serum;Ampul;250000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295907;1.1.12.01.04.0002.00135;Ketosol;Obat Anti Radang dan Demam;Botol;250000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295906;1.1.12.01.04.0002.00134;Fluconix;Obat Cacing Hati;Botol;299000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295905;1.1.12.01.04.0002.00133;DENTAL ROCKLES SEPTODONT;DENTAL ROCKLES SEPTODONT;Buah;828000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295904;1.1.12.01.04.0002.00132;FLETCHER POWDER;FLETCHER POWDER;Buah;98300
1.1.12.01.04.0002;Obat-obatan Lainnya;7295903;1.1.12.01.04.0002.00131;FUJI 7 1-1 PKg White;FUJI 7 1-1 PKg White;Box;796000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295902;1.1.12.01.04.0002.00130;Suplemen Multivitamin Covid;Suplemen Multivitamin Covid;Tablet;8500
1.1.12.01.04.0002;Obat-obatan Lainnya;7295901;1.1.12.01.04.0002.00129;Multivitamin/Suplemen;Multivitamin/Suplemen;Box;214000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295900;1.1.12.01.04.0002.00128;Vet - Oxy SB;Vet - Oxy SB 100 ml;Botol;100000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295899;1.1.12.01.04.0002.00127;Obat Pembasmi Jamur Tanaman;Obat Pembasmi Jamur Tanaman;Botol;170000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295898;1.1.12.01.04.0002.00126;Pupuk Organik Cair;Komposisi dalam produk mengandung C Organik Minimal 6 %, N Minimal 3%, P?O? Minimal 5%, K?O Minimal 3%;Liter;149300
1.1.12.01.04.0002;Obat-obatan Lainnya;7295897;1.1.12.01.04.0002.00125;Multivitamin/Suplemen Makanan/Blackmores Bio C 1000mg;Multivitamin/Suplemen Makanan/Blackmores Bio C 1000mg;Botol;135000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295896;1.1.12.01.04.0002.00124;Multivitamin/Suplemen Makanan/Forneuro (30 Caps);Multivitamin/Suplemen Makanan/Forneuro (30 Caps);Box;182000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295895;1.1.12.01.04.0002.00123;Multivitamin/Suplemen Makanan/Starmuno (30 tablet);Multivitamin/Suplemen Makanan/Starmuno (30 tablet);Box;295000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295894;1.1.12.01.04.0002.00122;Multivitamin / Suplemen Makanan / Propoelix Plus;Multivitamin / Suplemen Makanan / Propoelix Plus;Box;856000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295893;1.1.12.01.04.0002.00121;Aminoplex Forte 100 ml;Injeksi asam amino untuk pengobatan dan kelemahan pada ternak;Botol;250000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295892;1.1.12.01.04.0002.00120;Tolfen LA 8% 100 ml;Tolfenamic acid 80 mg, anti radang non steroid jangka panjang, antibiotik mastitis dan pernafasan;Botol;625000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295891;1.1.12.01.04.0002.00119;Flunimine 100 ml;Flunixin meglumine 50 mg, obat anti inflamasi pada penyakit pernafasan, mastitis dan pasca melahirkan;Botol;562500
1.1.12.01.04.0002;Obat-obatan Lainnya;7295890;1.1.12.01.04.0002.00118;MARBOCYL 2% 100ml (Marbofloxacin);Marbofloxacin 2% adalah antimikrobial sintetis, bakterisida, milik kelompok fluoroquinolone yang bertindak dengan menghambat DNA girase.;Botol;375000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295889;1.1.12.01.04.0002.00117;Multivitamin / Suplemen Makanan / Bee Propolis;Multivitamin / Suplemen Makanan / Bee Propolis;Botol;327000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295888;1.1.12.01.04.0002.00116;Cefasec;Untuk pengobatan infeksi subklinis dan pencegahan mastitis rutin pada sapi pada awal periode kering. Ini dilengkapi dengan vitamin A yang berfungsi sebagai regenerator epitel kelenjar susu. Sistem Duo Cap® eksklusif menawarkan kemungkinan aplikasi mendalam atau administrasi di dekat sfingter puting susu.;Buah;55000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295887;1.1.12.01.04.0002.00115;Albenpros 5 Bolus/Strip;Albenpros 5 Bolus/Strip;Strip;86000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295886;1.1.12.01.04.0002.00114;Prodryl 100 ml;Prodryl 100 ml;Botol;78500
1.1.12.01.04.0002;Obat-obatan Lainnya;7295885;1.1.12.01.04.0002.00113;Biopros Inj 100 ml;Biopros Inj 100 ml;Botol;217400
1.1.12.01.04.0002;Obat-obatan Lainnya;7295884;1.1.12.01.04.0002.00112;Permenthyl;Permenthyl 25 ml;Botol;30000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295883;1.1.12.01.04.0002.00111;Vitachick;Vitamin dan antibiotik pertumbuhan ayam (10 gr);Sachet;5300
1.1.12.01.04.0002;Obat-obatan Lainnya;7295882;1.1.12.01.04.0002.00110;Biodin;Adenosin Triphospat, garam aspartarte, sodium selenite, dan vitamin B12 (50 ml;Botol;106000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295881;1.1.12.01.04.0002.00109;Modivitasan 100 ml;Multivitamin Hewan;Botol;395000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295880;1.1.12.01.04.0002.00108;Aquadest;Aquadest, 5lt / Jerigen;Jerigen;157400
1.1.12.01.04.0002;Obat-obatan Lainnya;7295879;1.1.12.01.04.0002.00107;Sulpidon Inj;Sulpidon Inj, 50 ml;Botol;88800
1.1.12.01.04.0002;Obat-obatan Lainnya;7295878;1.1.12.01.04.0002.00106;Catosal;Catosal, 100 ml;Botol;608000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295877;1.1.12.01.04.0002.00105;Colibact inj;Colibact inj, 50 ml;Botol;225000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295876;1.1.12.01.04.0002.00104;Colibact Bolus;Colibact Bolus, 12 bolus;Kotak;170700
1.1.12.01.04.0002;Obat-obatan Lainnya;7295875;1.1.12.01.04.0002.00103;Antracol 1000 gr;Antracol 1000 gr;Pack;236000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295874;1.1.12.01.04.0002.00102;UREA;UREA,;Kg;5700
1.1.12.01.04.0002;Obat-obatan Lainnya;7295873;1.1.12.01.04.0002.00101;NPK;NPK,;Kg;20200
1.1.12.01.04.0002;Obat-obatan Lainnya;7295872;1.1.12.01.04.0002.00100;Agensi hayati;Agensi hayati, Produksi PPAH;Liter;109200
1.1.12.01.04.0002;Obat-obatan Lainnya;7295871;1.1.12.01.04.0002.00099;Pupuk Kandang;Pupuk Kandang,;Kg;3200
1.1.12.01.04.0002;Obat-obatan Lainnya;7295870;1.1.12.01.04.0002.00098;Pot spesimen urine mulut lebar ZULMAND Pot Urine;Pot spesimen urine mulut lebar ZULMAND Pot Urine;Buah;2600
1.1.12.01.04.0002;Obat-obatan Lainnya;7295869;1.1.12.01.04.0002.00097;Pupuk Organik Padat, Bentuk Remah, Bahan Dasar Kotoran Kambing dan Sapi, Kemasan Karung 25 Kg/40 Kg/50 Kg, Produk Telah Terdaftar di Kementerian Pertanian;Pupuk Organik Padat, Bentuk Remah, Bahan Dasar Kotoran Kambing dan Sapi, Kemasan Karung 25 Kg/40 Kg/50 Kg, Produk Telah Terdaftar di Kementerian Pertanian;Kg;1750
1.1.12.01.04.0002;Obat-obatan Lainnya;7295868;1.1.12.01.04.0002.00096;Bibit Apel Manalagi, Asal bibit okulasi, tinggi sekitar 60 cm, ditanam dalam polibag;Bibit Apel Manalagi, Asal bibit okulasi, tinggi sekitar 60 cm, ditanam dalam polibag;Batang;35000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295867;1.1.12.01.04.0002.00095;Pupuk Probiotik;Pupuk Probiotik EM4;Liter;61800
1.1.12.01.04.0002;Obat-obatan Lainnya;7295866;1.1.12.01.04.0002.00094;Pemusnahan obat kadaluarsa;Pemusnahan obat kadaluarsa,;Kg;55700
1.1.12.01.04.0002;Obat-obatan Lainnya;7295865;1.1.12.01.04.0002.00093;Catgut Plain 3/0;Catgut Plain 3/0;Box;116600
1.1.12.01.04.0002;Obat-obatan Lainnya;7295864;1.1.12.01.04.0002.00092;Catgut Plain 2/0;Catgut Plain 2/0;Box;116600
1.1.12.01.04.0002;Obat-obatan Lainnya;7295863;1.1.12.01.04.0002.00091;Alat suntik sekali pakai 2,5 ml/ 3 mL;Alat suntik sekali pakai 2,5 ml/ 3 mL,;Set;3200
1.1.12.01.04.0002;Obat-obatan Lainnya;7295862;1.1.12.01.04.0002.00090;Alat suntik sekali pakai 1 ml;Alat suntik sekali pakai 1 ml,;Set;5300
1.1.12.01.04.0002;Obat-obatan Lainnya;7295796;1.1.12.01.04.0002.00089;Oxycan;Oxycan;Kaleng;42000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295714;1.1.12.01.04.0002.00088;Pulpevit Tipe 2;Pulpevit Tipe 2;Botol;325000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295713;1.1.12.01.04.0002.00087;Pulpevit Tipe 1;Pulpevit Tipe 1;Botol;325000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295712;1.1.12.01.04.0002.00086;Cresodent Liquid;Cresodent Liquid;Botol;200000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295711;1.1.12.01.04.0002.00085;mulltivitamin sirup;mulltivitamin sirup;Botol;50000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295710;1.1.12.01.04.0002.00084;obat diare sirup;obat diare sirup;Botol;20000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295709;1.1.12.01.04.0002.00083;Lutalyse;Lutalyse hormon induksi birahi dan pengobatan endometritis kronis dan pymetra;Botol;200000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295708;1.1.12.01.04.0002.00082;ceftionel;ceftionel;Botol;275000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295707;1.1.12.01.04.0002.00081;Fenbuta;Fenbuta obat anti inflamasi, anti peritik dan analgesik yang mengandung Phenyabutazone 200 mg;Botol;250000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295706;1.1.12.01.04.0002.00080;gargle;obat kumur;Botol;39600
1.1.12.01.04.0002;Obat-obatan Lainnya;7295705;1.1.12.01.04.0002.00079;Glukosa Infus 40%;Glukosa Infus 40%;Botol;12800
1.1.12.01.04.0002;Obat-obatan Lainnya;7295704;1.1.12.01.04.0002.00078;metilergometrine injeksi;metilergometrine injeksi;Ampul;3200
1.1.12.01.04.0002;Obat-obatan Lainnya;7295703;1.1.12.01.04.0002.00077;air untuk injeksi 25ml;air untuk injeksi 25ml;Botol;3100
1.1.12.01.04.0002;Obat-obatan Lainnya;7295702;1.1.12.01.04.0002.00076;Larutan Eosin 2% 100 Ml Pemeriksaan Faeces;Larutan Eosin 2% 100 Ml Pemeriksaan Faeces;Botol;300000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295701;1.1.12.01.04.0002.00075;Kiranti;Kiranti;Botol;20000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295700;1.1.12.01.04.0002.00074;Alkohol;Alkohol;Liter;44600
1.1.12.01.04.0002;Obat-obatan Lainnya;7295699;1.1.12.01.04.0002.00073;Fish All;Fish All;Botol;16900
1.1.12.01.04.0002;Obat-obatan Lainnya;7295698;1.1.12.01.04.0002.00072;Blitz Itch;Blitz Itch;Botol;13500
1.1.12.01.04.0002;Obat-obatan Lainnya;7295697;1.1.12.01.04.0002.00071;Lukastop;Lukastop;Botol;16900
1.1.12.01.04.0002;Obat-obatan Lainnya;7295696;1.1.12.01.04.0002.00070;"Pupuk Hayati Cair, Mengandung nutrisi tanamanan berukuran hypernano dan beberapa organisme yang berfungsi sebagai penambat Nitrogen, pemacu tumbuh, pelarut fosfat & perombak bahan organik; kemasan 1 liter/Botol";"Pupuk Hayati Cair, Mengandung nutrisi tanamanan berukuran hypernano dan beberapa organisme yang berfungsi sebagai penambat Nitrogen, pemacu tumbuh, pelarut fosfat & perombak bahan organik; kemasan 1 liter/Botol";Liter;202500
1.1.12.01.04.0002;Obat-obatan Lainnya;7295695;1.1.12.01.04.0002.00069;KaLsium glukonat injeksi 10 %;KaLsium glukonat injeksi 10 %;Ampul;11000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295694;1.1.12.01.04.0002.00068;Ibuprofen suspensi 100 mg/5 mL;Ibuprofen suspensi 100 mg/5 mL;Botol;2800
1.1.12.01.04.0002;Obat-obatan Lainnya;7295693;1.1.12.01.04.0002.00067;Hidrogen peroksida Botol 3%;Hidrogen peroksida Botol 3%;Botol;5300
1.1.12.01.04.0002;Obat-obatan Lainnya;7295692;1.1.12.01.04.0002.00066;Haloperidol injeksi 5 mg/mL (i.m.);Haloperidol injeksi 5 mg/mL (i.m.);Vial;13800
1.1.12.01.04.0002;Obat-obatan Lainnya;7295691;1.1.12.01.04.0002.00065;Glukosa larutan infus 5 % 500 mL;Glukosa larutan infus 5 % 500 mL;Botol;7400
1.1.12.01.04.0002;Obat-obatan Lainnya;7295690;1.1.12.01.04.0002.00064;Fitomenadion (vitamin K 1) injeksi 2 mg/mL (i.m.);Fitomenadion (vitamin K 1) injeksi 2 mg/mL (i.m.);Ampul;4000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295689;1.1.12.01.04.0002.00063;Eugenol cairan;Eugenol cairan;Botol;20000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295688;1.1.12.01.04.0002.00062;Etanol Botol 70% 1 L;Etanol Botol 70% 1 L;Botol;26500
1.1.12.01.04.0002;Obat-obatan Lainnya;7295687;1.1.12.01.04.0002.00061;Simvastatin tabletsalut selaput 10 mg;Simvastatin tablet salut selaput 10 mg;Tablet;200
1.1.12.01.04.0002;Obat-obatan Lainnya;7295686;1.1.12.01.04.0002.00060;Sianokobalamin injeksi 500 mcg/ mL;Sianokobalamin injeksi 500 mcg/ mL;Ampul;1100
1.1.12.01.04.0002;Obat-obatan Lainnya;7295685;1.1.12.01.04.0002.00059;Epinefrin (adrenalin) inj 0,1% (i.v./s.k./i.m.);Epinefrin (adrenalin) inj 0,1% (i.v./s.k./i.m.);Ampul;1500
1.1.12.01.04.0002;Obat-obatan Lainnya;7295684;1.1.12.01.04.0002.00058;Domperidone suspensi 5 mg/ 5 mL;Domperidone suspensi 5 mg/ 5 mL;Botol;2900
1.1.12.01.04.0002;Obat-obatan Lainnya;7295683;1.1.12.01.04.0002.00057;Difenhidramin injeksi 10 mg/mL (i.v./i.m.);Difenhidramin injeksi 10 mg/mL (i.v./i.m.);Ampul;1200
1.1.12.01.04.0002;Obat-obatan Lainnya;7295682;1.1.12.01.04.0002.00056;Salbutamol suspensi 2 mg/5 ml;Salbutamol suspensi 2 mg/5 ml;Botol;4800
1.1.12.01.04.0002;Obat-obatan Lainnya;7295681;1.1.12.01.04.0002.00055;Diazepam injeksi 5 mg/mL (i.v./i.m.);Diazepam injeksi 5 mg/mL (i.v./i.m.);Ampul;1900
1.1.12.01.04.0002;Obat-obatan Lainnya;7295680;1.1.12.01.04.0002.00054;Diazepam enema 10 mg/ 2,5 mL - Stesolid;Diazepam enema 10 mg/ 2,5 mL - Stesolid;Tube;19400
1.1.12.01.04.0002;Obat-obatan Lainnya;7295679;1.1.12.01.04.0002.00053;Deksametason injeksi 5 mg/mL (i.v./i.m.);Deksametason injeksi 5 mg/mL (i.v./i.m.);Ampul;1200
1.1.12.01.04.0002;Obat-obatan Lainnya;7295678;1.1.12.01.04.0002.00052;Ringer laktat larutan infus steril;Ringer laktat larutan infus steril;Botol;7600
1.1.12.01.04.0002;Obat-obatan Lainnya;7295677;1.1.12.01.04.0002.00051;Povidon Iodine 10% 100 ml;Povidon Iodine 10% 100 ml;Botol;10600
1.1.12.01.04.0002;Obat-obatan Lainnya;7295676;1.1.12.01.04.0002.00050;Povidon Iodine 10 % 60 mL;Povidon Iodine 10 % 60 mL;Botol;4000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295675;1.1.12.01.04.0002.00049;Atropin injeksi 0,25 mg/mL (i.v./i.m./s.k.);Atropin injeksi 0,25 mg/mL (i.v./i.m./s.k.);Ampul;1700
1.1.12.01.04.0002;Obat-obatan Lainnya;7295674;1.1.12.01.04.0002.00048;ParaSetamoltetes 60 mg/0,6 mL 15 mL;ParaSetamol tetes 60 mg/0,6 mL 15 mL;Botol;7100
1.1.12.01.04.0002;Obat-obatan Lainnya;7295673;1.1.12.01.04.0002.00047;ParaSetamol sirup 120 mg/5 mL;ParaSetamol sirup 120 mg/5 mL;Botol;1200
1.1.12.01.04.0002;Obat-obatan Lainnya;7295672;1.1.12.01.04.0002.00046;Oksitosin injeksi 10 UI/mL;Oksitosin injeksi 10 UI/mL;Ampul;1300
1.1.12.01.04.0002;Obat-obatan Lainnya;7295671;1.1.12.01.04.0002.00045;Oksimetazolin tts hidung 0,025% - Iliadin;Oksimetazolin tts hidung 0,025% - Iliadin;Botol;63000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295670;1.1.12.01.04.0002.00044;Anestetik lokal gigi kombinasi : lidokain HCl 2% + epinefrin 1 : 80.000 inj 2 mL;Anestetik lokal gigi kombinasi : lidokain HCl 2% + epinefrin 1 : 80.000 inj 2 mL;Vial;1300
1.1.12.01.04.0002;Obat-obatan Lainnya;7295669;1.1.12.01.04.0002.00043;Ampisilin serbukinjeksi 1000 mg/vial;Ampisilin serbuk injeksi 1000 mg/vial;Vial;8800
1.1.12.01.04.0002;Obat-obatan Lainnya;7295668;1.1.12.01.04.0002.00042;Minyak Kayu Putih 120 mL;Minyak Kayu Putih 120 mL;Botol;21200
1.1.12.01.04.0002;Obat-obatan Lainnya;7295667;1.1.12.01.04.0002.00041;Metronidazol sirup 125 mg/5 mL;Metronidazol sirup 125 mg/5 mL;Botol;4200
1.1.12.01.04.0002;Obat-obatan Lainnya;7295666;1.1.12.01.04.0002.00040;Aminofilin injeksi 24 mg/mL;Aminofilin injeksi 24 mg/mL;Ampul;3000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295665;1.1.12.01.04.0002.00039;Cendo XitRolltetes mata;Cendo XitRoll tetes mata;Strip;34000
1.1.12.01.04.0002;Obat-obatan Lainnya;7295664;1.1.12.01.04.0002.00038;Magnesium sulfat injeksi 40% (iv);Magnesium sulfat injeksi 40% (iv);Ampul;4100
1.1.12.01.04.0002;Obat-obatan Lainnya;7295663;1.1.12.01.04.0002.00037;Magnesium sulfat injeksi 20% (iv);Magnesium sulfat injeksi 20% (iv);Ampul;3600
1.1.12.01.04.0002;Obat-obatan Lainnya;7295662;1.1.12.01.04.0002.00036;Minyak Kayu Putih;Minyak Kayu Putih;Botol;31800
